id_venda;cod_cliente;cod_produto;cod_marca;Des_Cliente;nom_produto;des_marca;Ano_venda;Mês_venda;Dia_venda;dtc_venda;qtd_venda;val_venda;num_nota
38;1;3;1;joão do pulo;teclado;apple;2015;3;19;19/03/2015;1;342,09;155
77;1;3;1;joão do pulo;teclado;apple;2015;9;16;16/09/2015;3;342,09;829
231;1;3;1;joão do pulo;teclado;apple;2015;11;4;04/11/2015;3;342,09;1483
342;1;3;1;joão do pulo;teclado;apple;2015;11;11;11/11/2015;2;342,09;984
402;1;3;1;joão do pulo;teclado;apple;2015;5;13;13/05/2015;1;342,09;341
455;1;3;1;joão do pulo;teclado;apple;2015;9;18;18/09/2015;2;342,09;344
697;1;3;1;joão do pulo;teclado;apple;2015;3;8;08/03/2015;2;342,09;902
782;1;3;1;joão do pulo;teclado;apple;2014;8;21;21/08/2014;1;342,09;684
904;1;3;1;joão do pulo;teclado;apple;2014;10;5;05/10/2014;2;342,09;560
1008;1;3;1;joão do pulo;teclado;apple;2014;6;26;26/06/2014;2;342,09;829
1213;1;3;1;joão do pulo;teclado;apple;2014;3;16;16/03/2014;2;342,09;843
1403;1;3;1;joão do pulo;teclado;apple;2014;5;19;19/05/2014;2;342,09;620
1495;1;3;1;joão do pulo;teclado;apple;2014;3;13;13/03/2014;2;342,09;1337
1512;1;3;1;joão do pulo;teclado;apple;2015;10;5;05/10/2015;3;342,09;1345
1658;1;3;1;joão do pulo;teclado;apple;2015;7;3;03/07/2015;2;342,09;420
1685;1;3;1;joão do pulo;teclado;apple;2015;11;5;05/11/2015;2;342,09;737
1758;1;3;1;joão do pulo;teclado;apple;2015;9;13;13/09/2015;3;342,09;254
1770;1;3;1;joão do pulo;teclado;apple;2014;3;14;14/03/2014;1;342,09;963
1834;1;3;1;joão do pulo;teclado;apple;2014;5;2;02/05/2014;3;342,09;209
1856;1;3;1;joão do pulo;teclado;apple;2015;10;14;14/10/2015;2;342,09;536
1897;1;3;1;joão do pulo;teclado;apple;2015;6;7;07/06/2015;2;342,09;1142
2006;1;3;1;joão do pulo;teclado;apple;2015;3;3;03/03/2015;1;342,09;1440
2075;1;3;1;joão do pulo;teclado;apple;2015;11;19;19/11/2015;1;342,09;780
